category,product_name,mpn,confidence
GPU,NVIDIA 9001G4112520001,9001G4112520001,low
GPU,MSI SHADOW 2X OC,RTX-5050-8G-SHADOW-2X-OC,high
GPU,Asus ProArt OC,PROART-RTX5070TI-O16G,high
GPU,Sapphire PULSE,11322-02-20G,high
GPU,Asus DUAL,DUAL-RTX5050-8G,high
GPU,Gigabyte EAGLE OC,GV-N4060EAGLE-OC-8GD,high
GPU,XFX Speedster SWFT 210 Core,RX-665X8DFDY,high
GPU,NVIDIA Founders Edition,9001G1362505000,high
GPU,MSI VENTUS 3X OC,GEFORCE-RTX-3060-TI-VENTUS-3X-8G-OC-LHR,high
GPU,Intel Limited Edition,99AM3D,high
GPU,Zotac Solid OC,ZT-B50800Q-10P,high
GPU,MSI GeForce GTX 1650 SUPER,GTX-1650-SUPER-AERO-ITX-OC,high
GPU,Gigabyte GAMING OC,GV-N4090GAMING-OC-24GD,high
GPU,MSI GAMING X,RTX-3050-GAMING-X-6G,high
GPU,Zotac GAMING Twin Edge OC,ZT-B50700H-10P,high
GPU,XFX Mercury OC Magnetic Air RGB,RX-97TMARGW9,high
GPU,PowerColor Fighter,RX7600-8G-F,high
GPU,Gigabyte EAGLE,GV-N406TEAGLE-8GD,high
GPU,Asus TUF GAMING OC,TUF-RTX3070TI-O8G-GAMING,high
GPU,MSI SUPRIM LIQUID SOC,GEFORCE-RTX-5080-16G-SUPRIM-LIQUID-SOC,high
GPU,Asus PRIME OC,PRIME-RTX5060TI-O8G,high
GPU,Gigabyte EAGLE OC SFF,GV-N5070EAGLE-OC-12GD,high
GPU,MSI VENTUS 3X OC,GEFORCE-RTX-3070-TI-VENTUS-3X-8G-OC,high
GPU,PNY VCQP600-PB,VCQP600-PB,low
GPU,Sapphire NITRO+,11330-01-20G,high
GPU,MSI GAMING TRIO OC,G506T-16GTC,high
